,Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score
0,IOC,112.3,N/A,21.33764,0.2105263157894737,0.9934361,0.07894736842105263,0.29048255,0.026315789473684213,4.717,0.052631578947368425,2.2230064057566223,0.052631578947368425,0.08421052631578947
1,COALINDIA,146.4,N/A,7.0793033,0.026315789473684213,2.4348867,0.2368421052631579,1.0385478,0.15789473684210525,3.704,0.026315789473684213,0.9239368206315004,0.026315789473684213,0.09473684210526316
2,NTPC,113.55,N/A,9.660542,0.052631578947368425,0.9181768,0.052631578947368425,0.9851515,0.13157894736842105,8.13,0.15789473684210525,6.119909477063043,0.2894736842105263,0.1368421052631579
3,BPCL,472.35,N/A,23.158953,0.2631578947368421,2.318305,0.2105263157894737,0.46071833,0.052631578947368425,7.302,0.13157894736842105,3.810644971718058,0.13157894736842105,0.15789473684210525
4,HINDALCO,371.35,N/A,37.146145,0.5263157894736842,1.3849367,0.10526315789473685,0.6856584,0.10526315789473685,9.399,0.1842105263157895,3.6406024027546326,0.10526315789473685,0.20526315789473684
5,GRASIM,1480.75,N/A,23.58746,0.2894736842105263,1.6136994,0.13157894736842105,1.3197383,0.2105263157894737,10.328,0.2368421052631579,4.002928280935098,0.15789473684210525,0.20526315789473684
6,POWERGRID,233.0,N/A,10.31019,0.07894736842105263,1.7998254,0.15789473684210525,3.1027203,0.4210526315789474,6.962,0.10526315789473685,6.650848768407718,0.39473684210526316,0.23157894736842105
7,ONGC,120.25,N/A,167.01389,1.0,0.7195773,0.026315789473684213,0.4689053,0.07894736842105263,5.892,0.07894736842105263,3.1714689059807277,0.07894736842105263,0.25263157894736843
8,UPL,808.0,N/A,25.460848,0.34210526315789475,3.2418942,0.2894736842105263,1.6667521,0.2631578947368421,10.325,0.2105263157894737,4.428849639192669,0.1842105263157895,0.2578947368421053
9,LT,1476.0,N/A,18.049084,0.10526315789473685,2.8650348,0.2631578947368421,1.5332524,0.2368421052631579,17.607,0.4736842105263158,5.9333887207238165,0.2631578947368421,0.26842105263157895
