,Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score
0,IOC,112.3,N/A,4.7645316,0.025641025641025644,0.92204875,0.07692307692307693,0.29048255,0.025641025641025644,4.841,0.05128205128205129,2.2816359098382906,0.07692307692307693,0.05128205128205129
1,BPCL,472.35,N/A,5.7886033,0.05128205128205129,1.7618097,0.1794871794871795,0.44518313,0.05128205128205129,6.021,0.07692307692307693,2.9983457864594576,0.12820512820512822,0.09743589743589744
2,COALINDIA,146.4,N/A,7.1033473,0.07692307692307693,2.471595,0.25641025641025644,1.0908235,0.1794871794871795,4.248,0.025641025641025644,1.3794868545536725,0.025641025641025644,0.11282051282051284
3,TATASTEEL,1092.3,N/A,17.126059,0.15384615384615385,1.7617857,0.15384615384615385,0.840711,0.12820512820512822,7.579,0.15384615384615385,2.229475277152851,0.05128205128205129,0.12820512820512822
4,NTPC,113.55,N/A,9.660542,0.10256410256410257,0.9181768,0.05128205128205129,0.98467726,0.15384615384615385,8.395,0.20512820512820515,6.319390012362073,0.33333333333333337,0.16923076923076924
5,HINDALCO,371.35,N/A,23.728436,0.3846153846153846,1.2411804,0.10256410256410257,0.62759095,0.10256410256410257,7.634,0.1794871794871795,2.881516035536925,0.10256410256410257,0.17435897435897435
6,GRASIM,1480.75,N/A,22.610323,0.358974358974359,1.4843243,0.12820512820512822,1.2754294,0.23076923076923075,9.265,0.23076923076923075,3.5253837105737444,0.1794871794871795,0.22564102564102564
7,POWERGRID,233.0,N/A,10.31019,0.12820512820512822,1.7998254,0.20512820512820515,3.1034322,0.4358974358974359,7.167,0.12820512820512822,6.846773187087389,0.4358974358974359,0.26666666666666666
8,ONGC,120.25,N/A,167.01389,1.0,0.7195773,0.025641025641025644,0.4689053,0.07692307692307693,6.426,0.10256410256410257,3.458978976109522,0.15384615384615385,0.2717948717948718
9,LT,1476.0,N/A,17.910446,0.1794871794871795,2.7317953,0.28205128205128205,1.4871342,0.25641025641025644,16.057,0.4102564102564103,5.804472412158578,0.25641025641025644,0.27692307692307694
