Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22072021,1035628392,0001813
Trade Date <22-JUL-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,20MICRONS,EQ,101745,60812,59.77
20,2,21STCENMGM,EQ,1111,1111,100.00
20,3,3MINDIA,EQ,4016,2369,58.99
20,4,5PAISA,EQ,43838,23196,52.91
20,5,63MOONS,EQ,142443,105039,73.74
20,6,667GS2050,GS,18796,16780,89.27
20,7,676GS2061,GS,10690,9700,90.74
20,8,706GS2046,GS,200,200,100.00
20,9,726GS2029,GS,1100,1100,100.00
20,10,737GS2023,GS,35,35,100.00
20,11,75GS2034,GS,100,100,100.00
20,12,763GS2059,GS,105,105,100.00
20,13,772GS2049,GS,109,109,100.00
20,14,772GS2055,GS,16,16,100.00
20,15,A2ZINFRA,EQ,616615,409618,66.43
20,16,AAATECH,SM,3000,3000,100.00
20,17,AAKASH,EQ,111749,40915,36.61
20,18,AARON,EQ,25408,10399,40.93
20,19,AARTIDRUGS,EQ,233113,78144,33.52
20,20,AARTIIND,EQ,1251334,588379,47.02
20,21,AARTISURF,EQ,10630,5253,49.42
20,22,AARVEEDEN,EQ,78531,48009,61.13
20,23,AARVI,EQ,100361,59998,59.78
20,24,AAVAS,EQ,62652,44618,71.22
20,25,ABAN,EQ,178298,143303,80.37
20,26,ABB,EQ,131419,103515,78.77
20,27,ABBOTINDIA,EQ,11590,8910,76.88
20,28,ABCAPITAL,EQ,2995176,1065094,35.56
20,29,ABFRL,EQ,5342484,1115156,20.87
20,30,ABINFRA,SM,44000,44000,100.00
20,31,ABMINTLTD,EQ,312,312,100.00
20,32,ABSLBANETF,EQ,278,231,83.09
20,33,ABSLNN50ET,EQ,5240,5099,97.31
20,34,ABSLRIF6RG,MF,50500,50500,100.00
20,35,ACC,EQ,1010305,219529,21.73
20,36,ACCELYA,EQ,96548,43064,44.60
20,37,ACCURACY,EQ,83180,51929,62.43
20,38,ACE,EQ,385960,169194,43.84
20,39,ACEINTEG,SM,12000,12000,100.00
20,40,ACRYSIL,EQ,37883,19223,50.74
20,41,ADANIENT,EQ,5009804,521231,10.40
20,42,ADANIPORTS,EQ,9740403,1939484,19.91
20,43,ADFFOODS,EQ,29990,13851,46.19
20,44,ADORWELD,EQ,25164,16713,66.42
20,45,ADSL,EQ,536089,257271,47.99
20,46,ADVANIHOTR,EQ,51822,22682,43.77
20,47,ADVENZYMES,EQ,144877,75592,52.18
20,48,AEGISCHEM,EQ,689277,393855,57.14
20,49,AGARIND,EQ,18724,13092,69.92
20,50,AGRITECH,EQ,17291,7055,40.80
20,51,AGROPHOS,EQ,70886,69891,98.60
20,52,AHLADA,EQ,52944,45906,86.71
20,53,AHLEAST,EQ,2383,1117,46.87
20,54,AHLUCONT,EQ,16298,8886,54.52
20,55,AHLWEST,EQ,37638,20471,54.39
20,56,AIAENG,EQ,15028,10648,70.85
20,57,AIROLAM,SM,12000,12000,100.00
20,58,AISL,SM,124800,105600,84.62
20,59,AJANTPHARM,EQ,56245,30191,53.68
20,60,AJOONI,EQ,31281,19953,63.79
20,61,AKASH,EQ,47949,41808,87.19
20,62,AKG,EQ,6684,5262,78.73
20,63,AKSHARCHEM,EQ,28518,14237,49.92
20,64,AKZOINDIA,EQ,9737,5798,59.55
20,65,ALANKIT,EQ,7460686,1845104,24.73
20,66,ALBERTDAVD,EQ,156280,45438,29.07
20,67,ALEMBICLTD,EQ,766534,184682,24.09
20,68,ALICON,EQ,42810,19244,44.95
20,69,ALKALI,EQ,43112,21277,49.35
20,70,ALKEM,EQ,145425,20615,14.18
20,71,ALKYLAMINE,EQ,227488,99759,43.85
20,72,ALLCARGO,EQ,4904775,1775072,36.19
20,73,ALLSEC,EQ,83904,42949,51.19
20,74,ALMONDZ,EQ,7937,6375,80.32
20,75,ALOKINDS,EQ,10447304,5345614,51.17
20,76,ALPA,EQ,38159,26120,68.45
20,77,ALPHAGEO,EQ,21333,12210,57.24
20,78,AMARAJABAT,EQ,627778,285212,45.43
20,79,AMBANIORG,SM,6000,2000,33.33
20,80,AMBER,EQ,37741,21678,57.44
20,81,AMBICAAGAR,EQ,18717,14141,75.55
20,82,AMBIKCO,EQ,49166,25377,51.61
20,83,AMBUJACEM,EQ,4093799,1704021,41.62
20,84,AMDIND,EQ,51196,29823,58.25
20,85,AMJLAND,EQ,66263,34457,52.00
20,86,AMRUTANJAN,EQ,30800,18164,58.97
20,87,ANDHRAPAP,EQ,61984,21874,35.29
20,88,ANDHRSUGAR,EQ,54377,19394,35.67
20,89,ANGELBRKG,EQ,986328,336914,34.16
20,90,ANIKINDS,EQ,66194,50438,76.20
20,91,ANMOL,EQ,22791,1662,7.29
20,92,ANSALAPI,EQ,126941,77255,60.86
20,93,ANSALHSG,EQ,889140,444210,49.96
20,94,ANUP,EQ,68372,26325,38.50
20,95,ANURAS,EQ,39808,21930,55.09
20,96,APARINDS,EQ,74949,39634,52.88
20,97,APCL,EQ,161549,79998,49.52
20,98,APCOTEXIND,EQ,90814,57235,63.02
20,99,APEX,EQ,100885,47548,47.13
20,100,APLAPOLLO,EQ,312520,211430,67.65
20,101,APLLTD,EQ,157198,71758,45.65
20,102,APOLLO,EQ,198039,103024,52.02
20,103,APOLLOHOSP,EQ,760359,199059,26.18
20,104,APOLLOPIPE,EQ,82537,65747,79.66
20,105,APOLLOTYRE,EQ,3759724,1715672,45.63
20,106,APOLSINHOT,EQ,2423,1253,51.71
20,107,APTECHT,EQ,215371,57438,26.67
20,108,ARENTERP,EQ,1131,931,82.32
20,109,ARIES,EQ,307644,152296,49.50
20,110,ARIHANT,EQ,12541,5226,41.67
20,111,ARIHANTCAP,EQ,109960,68339,62.15
20,112,ARIHANTSUP,EQ,139801,94783,67.80
20,113,ARMANFIN,EQ,7176,3622,50.47
20,114,AROGRANITE,EQ,74385,40051,53.84
20,115,ARROWGREEN,EQ,6588,4771,72.42
20,116,ARSHIYA,EQ,151950,107662,70.85
20,117,ARSSINFRA,EQ,25167,9149,36.35
20,118,ARTEMISMED,EQ,57922,46451,80.20
20,119,ARVIND,EQ,3248127,1239737,38.17
20,120,ARVINDFASN,EQ,4945178,1995031,40.34
20,121,ARVSMART,EQ,781145,341332,43.70
20,122,ASAHIINDIA,EQ,67875,29234,43.07
20,123,ASAHISONG,EQ,24104,14322,59.42
20,124,ASALCBR,EQ,52841,24890,47.10
20,125,ASHIANA,EQ,396094,192903,48.70
20,126,ASHIMASYN,EQ,48516,41965,86.50
20,127,ASHOKA,EQ,1280078,601730,47.01
20,128,ASHOKLEY,EQ,6753558,2371737,35.12
20,129,ASIANHOTNR,EQ,8485,4750,55.98
20,130,ASIANPAINT,EQ,1982572,646868,32.63
20,131,ASIANTILES,EQ,341880,171887,50.28
20,132,ASLIND,SM,4000,4000,100.00
20,133,ASPINWALL,EQ,720204,264864,36.78
20,134,ASTEC,EQ,52707,40084,76.05
20,135,ASTERDM,EQ,335571,131847,39.29
20,136,ASTRAL,EQ,181241,102763,56.70
20,137,ASTRAMICRO,EQ,1013910,222920,21.99
20,138,ASTRAZEN,EQ,24417,10570,43.29
20,139,ASTRON,EQ,546696,104436,19.10
20,140,ATFL,EQ,108588,36425,33.54
20,141,ATUL,EQ,8514,4591,53.92
20,142,ATULAUTO,EQ,226939,105853,46.64
20,143,AUBANK,EQ,1875247,499368,26.63
20,144,AURIONPRO,EQ,465731,200836,43.12
20,145,AUROPHARMA,EQ,523670,125440,23.95
20,146,AUTOAXLES,EQ,19372,8157,42.11
20,147,AUTOIND,EQ,102533,80476,78.49
20,148,AVADHSUGAR,EQ,158192,66048,41.75
20,149,AVANTIFEED,EQ,294324,100599,34.18
20,150,AVROIND,SM,10000,6000,60.00
20,151,AVTNPL,EQ,836197,260877,31.20
20,152,AWHCL,EQ,63654,35206,55.31
20,153,AXISBANK,EQ,7876163,3919690,49.77
20,154,AXISBNKETF,EQ,458,269,58.73
20,155,AXISBPSETF,EQ,45406,45246,99.65
20,156,AXISCADES,EQ,166535,122403,73.50
20,157,AXISGOLD,EQ,79510,56324,70.84
20,158,AXISHCETF,EQ,6849,5484,80.07
20,159,AXISNIFTY,EQ,4393,3191,72.64
20,160,AXISTECETF,EQ,539,447,82.93
20,161,AYMSYNTEX,EQ,38539,26757,69.43
20,162,BAFNAPH,EQ,21516,13190,61.30
20,163,BAGFILMS,EQ,148324,101576,68.48
20,164,BAJAJ-AUTO,EQ,1707977,272746,15.97
20,165,BAJAJCON,EQ,447833,154213,34.44
20,166,BAJAJELEC,EQ,142483,70204,49.27
20,167,BAJAJFINSV,EQ,524877,89474,17.05
20,168,BAJAJHLDNG,EQ,32070,11055,34.47
20,169,BAJFINANCE,EQ,3488591,1327059,38.04
20,170,BALAJITELE,EQ,572106,319278,55.81
20,171,BALAMINES,EQ,153596,65398,42.58
20,172,BALAXI,EQ,12485,8565,68.60
20,173,BALKRISHNA,EQ,11421,9354,81.90
20,174,BALKRISIND,EQ,327406,192544,58.81
20,175,BALMLAWRIE,EQ,415429,116475,28.04
20,176,BALPHARMA,EQ,40638,28825,70.93
20,177,BALRAMCHIN,EQ,710675,316028,44.47
20,178,BANARBEADS,EQ,418013,147730,35.34
20,179,BANARISUG,EQ,5089,1661,32.64
20,180,BANCOINDIA,EQ,114953,53527,46.56
20,181,BANDHANBNK,EQ,4147968,2459835,59.30
20,182,BANKA,EQ,99386,56283,56.63
20,183,BANKBARODA,EQ,25556770,6588656,25.78
20,184,BANKBEES,EQ,331839,138262,41.67
20,185,BANKINDIA,EQ,1538232,492359,32.01
20,186,BANSWRAS,EQ,16703,9057,54.22
20,187,BARBEQUE,EQ,174120,44855,25.76
20,188,BASF,EQ,21637,7233,33.43
20,189,BASML,EQ,103887,72005,69.31
20,190,BATAINDIA,EQ,506080,199557,39.43
20,191,BAYERCROP,EQ,12281,6515,53.05
20,192,BBL,EQ,10139,4727,46.62
20,193,BBTC,EQ,74949,36839,49.15
20,194,BBTCL,SM,63000,63000,100.00
20,195,BCLIND,EQ,96679,35105,36.31
20,196,BCP,EQ,653929,491674,75.19
20,197,BDL,EQ,2043304,712961,34.89
20,198,BEARDSELL,EQ,12709,11557,90.94
20,199,BECTORFOOD,EQ,1042518,379873,36.44
20,200,BEL,EQ,4759456,1732229,36.40
20,201,BEML,EQ,328543,82804,25.20
20,202,BEPL,EQ,544450,243949,44.81
20,203,BERGEPAINT,EQ,1284659,314615,24.49
20,204,BESTAGRO,EQ,167826,109848,65.45
20,205,BETA,SM,2400,2400,100.00
20,206,BFINVEST,EQ,83122,25350,30.50
20,207,BFUTILITIE,EQ,321534,128512,39.97
20,208,BGRENERGY,EQ,368677,198164,53.75
20,209,BHAGERIA,EQ,104741,30903,29.50
20,210,BHAGYANGR,EQ,32441,20742,63.94
20,211,BHAGYAPROP,EQ,18220,6646,36.48
20,212,BHANDARI,EQ,480201,287586,59.89
20,213,BHARATFORG,EQ,1131810,648334,57.28
20,214,BHARATGEAR,EQ,47514,29907,62.94
20,215,BHARATRAS,EQ,1732,860,49.65
20,216,BHARTIARTL,EQ,19847956,8273743,41.69
20,217,BHEL,EQ,22648698,5149469,22.74
20,218,BIGBLOC,EQ,9987,7404,74.14
20,219,BIL,EQ,1459,771,52.84
20,220,BINDALAGRO,EQ,361662,164889,45.59
20,221,BIOCON,EQ,2808364,488730,17.40
20,222,BIOFILCHEM,EQ,629689,263238,41.80
20,223,BIRET,RR,24600,18400,74.80
20,224,BIRLACORPN,EQ,231760,140198,60.49
20,225,BIRLAMONEY,EQ,419330,197457,47.09
20,226,BIRLATYRE,EQ,642601,485272,75.52
20,227,BLBLIMITED,EQ,360148,317435,88.14
20,228,BLISSGVS,EQ,223079,95927,43.00
20,229,BLKASHYAP,EQ,186627,113035,60.57
20,230,BLS,EQ,172886,73172,42.32
20,231,BLUECOAST,EQ,551,551,100.00
20,232,BLUEDART,EQ,19015,8866,46.63
20,233,BLUESTARCO,EQ,35076,16228,46.27
20,234,BODALCHEM,EQ,1696099,554389,32.69
20,235,BOMDYEING,EQ,9564938,1776492,18.57
20,236,BOROLTD,EQ,139220,51654,37.10
20,237,BOSCHLTD,EQ,29430,7823,26.58
20,238,BPCL,EQ,6766248,2385029,35.25
20,239,BPL,EQ,229458,125995,54.91
20,240,BRIGADE,EQ,284832,86528,30.38
20,241,BRIGHT,SM,93000,81000,87.10
20,242,BRITANNIA,EQ,389457,280706,72.08
20,243,BRITANNIA,N2,895955,895842,99.99
20,244,BRITANNIA,N3,3440947,3438158,99.92
20,245,BRNL,EQ,134879,86025,63.78
20,246,BROOKS,EQ,17614,10848,61.59
20,247,BSE,EQ,1971410,601804,30.53
20,248,BSHSL,EQ,5674,5284,93.13
20,249,BSL,EQ,70227,44861,63.88
20,250,BSLGOLDETF,EQ,169,138,81.66
20,251,BSLNIFTY,EQ,308,271,87.99
20,252,BSOFT,EQ,2048610,888764,43.38
20,253,BTML,SM,1200,1200,100.00
20,254,BURGERKING,EQ,8233764,2942462,35.74
20,255,BYKE,EQ,42641,25415,59.60
20,256,CADILAHC,EQ,2706726,1320972,48.80
20,257,CAMLINFINE,EQ,886128,300440,33.90
20,258,CAMS,EQ,186965,71590,38.29
20,259,CANBK,EQ,4415452,1394921,31.59
20,260,CANFINHOME,EQ,595914,264331,44.36
20,261,CANTABIL,EQ,38824,11871,30.58
20,262,CAPACITE,EQ,202156,104719,51.80
20,263,CAPLIPOINT,EQ,1017618,330310,32.46
20,264,CAPTRUST,EQ,13301,7898,59.38
20,265,CARBORUNIV,EQ,143410,90670,63.22
20,266,CAREERP,EQ,238016,122675,51.54
20,267,CARERATING,EQ,412583,224333,54.37
20,268,CASTROLIND,EQ,516518,270987,52.46
20,269,CCL,EQ,3973646,1007386,25.35
20,270,CEATLTD,EQ,358984,138817,38.67
20,271,CELEBRITY,EQ,133609,126492,94.67
20,272,CENTENKA,EQ,236571,49554,20.95
20,273,CENTEXT,EQ,201362,123392,61.28
20,274,CENTRALBK,EQ,12794501,4225410,33.03
20,275,CENTRUM,EQ,3798690,1155120,30.41
20,276,CENTUM,EQ,26889,12837,47.74
20,277,CENTURYPLY,EQ,370301,174249,47.06
20,278,CENTURYTEX,EQ,275615,60875,22.09
20,279,CERA,EQ,20993,13617,64.86
20,280,CEREBRAINT,EQ,809166,302449,37.38
20,281,CESC,EQ,325433,150085,46.12
20,282,CGCL,EQ,22640,7387,32.63
20,283,CHALET,EQ,172368,78153,45.34
20,284,CHAMBLFERT,EQ,656960,319922,48.70
20,285,CHEMBOND,EQ,72949,34452,47.23
20,286,CHEMCON,EQ,132256,56149,42.45
20,287,CHEMFAB,EQ,18215,11538,63.34
20,288,CHENNPETRO,EQ,290874,145137,49.90
20,289,CHOLAFIN,EQ,2727010,1511090,55.41
20,290,CHOLAHLDNG,EQ,111962,56299,50.28
20,291,CIGNITITEC,EQ,127908,63829,49.90
20,292,CINELINE,EQ,53697,26311,49.00
20,293,CIPLA,EQ,1783069,986966,55.35
20,294,CLEAN,EQ,1731678,662819,38.28
20,295,CLEDUCATE,EQ,47111,28514,60.53
20,296,CLNINDIA,EQ,31834,17444,54.80
20,297,CLSEL,EQ,73105,45815,62.67
20,298,CMICABLES,EQ,288013,160160,55.61
20,299,CMMIPL,SM,33000,33000,100.00
20,300,COALINDIA,EQ,4772582,1572023,32.94
20,301,COCHINSHIP,EQ,253442,154735,61.05
20,302,COFFEEDAY,EQ,1335546,787036,58.93
20,303,COFORGE,EQ,316756,72013,22.73
20,304,COLPAL,EQ,532351,300704,56.49
20,305,COMPINFO,EQ,764731,326858,42.74
20,306,COMPUSOFT,EQ,177067,117144,66.16
20,307,CONCOR,EQ,1315679,642968,48.87
20,308,CONFIPET,EQ,640753,433823,67.71
20,309,CONSOFINVT,EQ,20792,15957,76.75
20,310,CONTROLPR,EQ,71318,37594,52.71
20,311,CORALFINAC,EQ,125278,67977,54.26
20,312,CORDSCABLE,EQ,87989,58795,66.82
20,313,COROMANDEL,EQ,347050,213320,61.47
20,314,COSMOFILMS,EQ,41858,19013,45.42
20,315,COUNCODOS,EQ,69460,67274,96.85
20,316,CPSEETF,EQ,1499722,1368408,91.24
20,317,CRAFTSMAN,EQ,41071,21004,51.14
20,318,CREATIVEYE,EQ,308,308,100.00
20,319,CREDITACC,EQ,59576,34679,58.21
20,320,CRISIL,EQ,502143,57039,11.36
20,321,CROMPTON,EQ,2641057,1655533,62.68
20,322,CSBBANK,EQ,1687315,365965,21.69
20,323,CTE,EQ,13122,13122,100.00
20,324,CUB,EQ,941760,395360,41.98
20,325,CUBEXTUB,EQ,15856,12632,79.67
20,326,CUMMINSIND,EQ,583591,285637,48.94
20,327,CUPID,EQ,129285,72149,55.81
20,328,CYBERTECH,EQ,700708,292084,41.68
20,329,CYIENT,EQ,666432,296074,44.43
20,330,DAAWAT,EQ,945825,442256,46.76
20,331,DABUR,EQ,1191908,556845,46.72
20,332,DALBHARAT,EQ,194935,118402,60.74
20,333,DALMIASUG,EQ,276820,101083,36.52
20,334,DANGEE,EQ,3706,1654,44.63
20,335,DATAMATICS,EQ,1186842,374996,31.60
20,336,DBCORP,EQ,1841471,469358,25.49
20,337,DBL,EQ,244008,142072,58.22
20,338,DBREALTY,EQ,1011121,574973,56.86
20,339,DBSTOCKBRO,EQ,7499,4657,62.10
20,340,DCAL,EQ,951351,459842,48.34
20,341,DCBBANK,EQ,850352,438789,51.60
20,342,DCM,EQ,108813,86805,79.77
20,343,DCMNVL,EQ,99836,62831,62.93
20,344,DCMSHRIRAM,EQ,343907,120197,34.95
20,345,DCW,EQ,1420024,515214,36.28
20,346,DECCANCE,EQ,150379,43763,29.10
20,347,DEEPAKNTR,EQ,601608,195981,32.58
20,348,DEEPINDS,EQ,437180,179358,41.03
20,349,DELTACORP,EQ,1776508,664012,37.38
20,350,DELTAMAGNT,EQ,4559,3617,79.34
20,351,DEN,EQ,4201479,1230896,29.30
20,352,DENORA,EQ,14371,7092,49.35
20,353,DFMFOODS,EQ,287727,101063,35.12
20,354,DHAMPURSUG,EQ,400998,187897,46.86
20,355,DHANBANK,EQ,4389565,1279552,29.15
20,356,DHANI,EQ,1294244,666190,51.47
20,357,DHANILOANS,N3,150,150,100.00
20,358,DHANILOANS,N4,253,253,100.00
20,359,DHANILOANS,N5,207,207,100.00
20,360,DHANILOANS,N6,100,100,100.00
20,361,DHANIPP,E1,65696,29010,44.16
20,362,DHANUKA,EQ,67426,27697,41.08
20,363,DHFL,N6,1851,1790,96.70
20,364,DHFL,NA,10,10,100.00
20,365,DHFL,NC,7,7,100.00
20,366,DHFL,NN,260,260,100.00
20,367,DHFL,NP,751,650,86.55
20,368,DHFL,NS,5664,4848,85.59
20,369,DHFL,NX,2651,1744,65.79
20,370,DHFL,Y1,566,566,100.00
20,371,DHUNINV,EQ,13903,7099,51.06
20,372,DIAMONDYD,EQ,71015,19796,27.88
20,373,DICIND,EQ,8349,3770,45.16
20,374,DISHTV,EQ,4134979,2098140,50.74
20,375,DIVISLAB,EQ,384993,214303,55.66
20,376,DIXON,EQ,126503,79506,62.85
20,377,DLF,EQ,9250040,1611582,17.42
20,378,DLINKINDIA,EQ,1034235,293045,28.33
20,379,DMART,EQ,216224,102996,47.63
20,380,DNAMEDIA,EQ,472115,252291,53.44
20,381,DODLA,EQ,206820,71039,34.35
20,382,DOLAT,EQ,929799,625988,67.33
20,383,DOLLAR,EQ,77291,33447,43.27
20,384,DONEAR,EQ,351132,173132,49.31
20,385,DPABHUSHAN,EQ,3232,2182,67.51
20,386,DPSCLTD,EQ,55618,35449,63.74
20,387,DPWIRES,EQ,38690,24950,64.49
20,388,DRCSYSTEMS,EQ,1813,1131,62.38
20,389,DREDGECORP,EQ,102334,30391,29.70
20,390,DRREDDY,EQ,185848,71228,38.33
20,391,DSML,SM,36000,24000,66.67
20,392,DSSL,EQ,17519,11119,63.47
20,393,DTIL,EQ,14862,9682,65.15
20,394,DVL,EQ,73150,43808,59.89
20,395,DWARKESH,EQ,2805583,1162804,41.45
20,396,DYNAMATECH,EQ,6442,4473,69.43
20,397,DYNPRO,EQ,43246,25567,59.12
20,398,E2E,SM,8000,8000,100.00
20,399,EASEMYTRIP,EQ,610759,216482,35.44
20,400,EASTSILK,EQ,94622,68028,71.89
20,401,EBBETF0423,EQ,7189,6174,85.88
20,402,EBBETF0425,EQ,5512,5341,96.90
20,403,EBBETF0430,EQ,6717,6141,91.42
20,404,EBBETF0431,EQ,9774,9245,94.59
20,405,EBIXFOREX,EQ,7542,5376,71.28
20,406,ECLFINANCE,NG,87,87,100.00
20,407,ECLFINANCE,NH,100,50,50.00
20,408,ECLFINANCE,NJ,280,164,58.57
20,409,ECLFINANCE,NK,2133,2113,99.06
20,410,ECLFINANCE,NM,459,451,98.26
20,411,ECLFINANCE,NN,110,110,100.00
20,412,ECLFINANCE,NO,562,535,95.20
20,413,ECLFINANCE,NP,500,500,100.00
20,414,ECLFINANCE,NQ,304,304,100.00
20,415,ECLFINANCE,NR,4,4,100.00
20,416,EDELWEISS,EQ,6794132,4082537,60.09
20,417,EHFLNCD,N5,13,13,100.00
20,418,EHFLNCD,N6,1689,1689,100.00
20,419,EHFLNCD,N7,60,60,100.00
20,420,EICHERMOT,EQ,1321161,1012194,76.61
20,421,EIDPARRY,EQ,243210,92506,38.04
20,422,EIHAHOTELS,EQ,10033,5829,58.10
20,423,EIHOTEL,EQ,467870,113262,24.21
20,424,EIMCOELECO,EQ,7678,4474,58.27
20,425,ELECON,EQ,2258470,808420,35.80
20,426,ELECTCAST,EQ,496367,246089,49.58
20,427,ELECTHERM,EQ,15919,10375,65.17
20,428,ELGIEQUIP,EQ,335794,295190,87.91
20,429,ELGIRUBCO,EQ,458303,282887,61.72
20,430,EMAMILTD,EQ,381060,243650,63.94
20,431,EMAMIPAP,EQ,366235,134090,36.61
20,432,EMAMIREAL,EQ,153600,96260,62.67
20,433,EMBASSY,RR,963000,859200,89.22
20,434,EMKAY,EQ,262734,129212,49.18
20,435,EMKAYTOOLS,SM,2400,2400,100.00
20,436,EMMBI,EQ,204340,84874,41.54
20,437,ENDURANCE,EQ,136705,99962,73.12
20,438,ENERGYDEV,EQ,88085,67325,76.43
20,439,ENGINERSIN,EQ,1170946,646160,55.18
20,440,ENIL,EQ,469001,387082,82.53
20,441,EPL,EQ,470015,221172,47.06
20,442,EQ30,EQ,331,265,80.06
20,443,EQUITAS,EQ,4616197,2544455,55.12
20,444,EQUITASBNK,EQ,872530,403859,46.29
20,445,ERFLNCDI,N4,410,330,80.49
20,446,ERFLNCDI,N5,1,1,100.00
20,447,ERFLNCDI,N6,100,100,100.00
20,448,ERIS,EQ,100884,37259,36.93
20,449,EROSMEDIA,EQ,889567,655835,73.73
20,450,ESABINDIA,EQ,4012,2236,55.73
20,451,ESCORTS,EQ,524663,301365,57.44
20,452,ESSARSHPNG,EQ,77840,53212,68.36
20,453,ESTER,EQ,495691,125048,25.23
20,454,EUROTEXIND,EQ,212,212,100.00
20,455,EVEREADY,EQ,913719,391093,42.80
20,456,EVERESTIND,EQ,150937,70678,46.83
20,457,EXCELINDUS,EQ,18061,10292,56.98
20,458,EXIDEIND,EQ,1503764,744215,49.49
20,459,FACT,EQ,274482,56258,20.50
20,460,FAIRCHEMOR,EQ,24147,12674,52.49
20,461,FCL,EQ,3359895,1309785,38.98
20,462,FCONSUMER,EQ,16954901,4595999,27.11
20,463,FDC,EQ,547265,188053,34.36
20,464,FEDERALBNK,EQ,11982348,4375725,36.52
20,465,FEL,EQ,1454627,663921,45.64
20,466,FELDVR,EQ,80575,41059,50.96
20,467,FELIX,SM,20000,20000,100.00
20,468,FIEMIND,EQ,25965,13905,53.55
20,469,FILATEX,EQ,1777795,821971,46.24
20,470,FILDF2GP,MF,4741,4701,99.16
20,471,FILDF2GPD,MF,500,500,100.00
20,472,FINCABLES,EQ,344274,82012,23.82
20,473,FINEORG,EQ,16046,9041,56.34
20,474,FINPIPE,EQ,613016,472029,77.00
20,475,FLEXITUFF,EQ,6931,6795,98.04
20,476,FLFL,EQ,373254,119080,31.90
20,477,FLUOROCHEM,EQ,301081,169276,56.22
20,478,FMGOETZE,EQ,245333,120023,48.92
20,479,FMNL,EQ,266139,147598,55.46
20,480,FOCUS,SM,18000,18000,100.00
20,481,FORCEMOT,EQ,174355,26788,15.36
20,482,FORTIS,EQ,1488418,621306,41.74
20,483,FOSECOIND,EQ,18032,10443,57.91
20,484,FRETAIL,EQ,2867146,1267700,44.21
20,485,FSC,EQ,295905,125324,42.35
20,486,FSL,EQ,7294570,1193696,16.36
20,487,GABRIEL,EQ,216630,105157,48.54
20,488,GAEL,EQ,426713,186384,43.68
20,489,GAIL,EQ,11673106,6091653,52.19
20,490,GAL,EQ,1353675,1188980,87.83
20,491,GALAXYSURF,EQ,37789,21667,57.34
20,492,GALLANTT,EQ,860750,292750,34.01
20,493,GALLISPAT,EQ,185023,72152,39.00
20,494,GANDHITUBE,EQ,92269,25799,27.96
20,495,GANECOS,EQ,21449,11608,54.12
20,496,GANESHHOUC,EQ,63585,38654,60.79
20,497,GANGAFORGE,EQ,45151,17800,39.42
20,498,GANGESSECU,EQ,22259,14854,66.73
20,499,GARFIBRES,EQ,51331,19018,37.05
20,500,GATI,EQ,3907732,1124345,28.77
20,501,GAYAPROJ,EQ,5438854,3459569,63.61
20,502,GEECEE,EQ,53500,29516,55.17
20,503,GEEKAYWIRE,EQ,63151,42084,66.64
20,504,GENCON,EQ,59155,33138,56.02
20,505,GENESYS,EQ,80214,52504,65.45
20,506,GENUSPOWER,EQ,303843,133191,43.84
20,507,GEOJITFSL,EQ,1283117,429438,33.47
20,508,GEPIL,EQ,81054,38181,47.11
20,509,GESHIP,EQ,188313,82620,43.87
20,510,GET&D,EQ,157690,75601,47.94
20,511,GFLLIMITED,EQ,135918,79649,58.60
20,512,GFSTEELS,EQ,211,211,100.00
20,513,GHCL,EQ,214272,100427,46.87
20,514,GICHSGFIN,EQ,279911,81091,28.97
20,515,GICRE,EQ,789755,407912,51.65
20,516,GILLETTE,EQ,9884,4627,46.81
20,517,GINNIFILA,EQ,483532,312144,64.55
20,518,GIPCL,EQ,3535449,1284184,36.32
20,519,GKWLIMITED,EQ,2344,1176,50.17
20,520,GLAND,EQ,1960695,920889,46.97
20,521,GLAXO,EQ,78179,41142,52.63
20,522,GLENMARK,EQ,2063487,942501,45.68
20,523,GLFL,EQ,17307,17307,100.00
20,524,GLOBAL,EQ,10538,8577,81.39
20,525,GLOBALVECT,EQ,68009,47935,70.48
20,526,GMBREW,EQ,41896,19446,46.41
20,527,GMDCLTD,EQ,548655,237458,43.28
20,528,GMMPFAUDLR,EQ,14706,7237,49.21
20,529,GMRINFRA,EQ,10541919,2361090,22.40
20,530,GNA,EQ,195892,73717,37.63
20,531,GNFC,EQ,389724,192103,49.29
20,532,GOACARBON,EQ,27255,11486,42.14
20,533,GOCLCORP,EQ,17749,8520,48.00
20,534,GODFRYPHLP,EQ,43577,20196,46.35
20,535,GODREJAGRO,EQ,210466,51017,24.24
20,536,GODREJCP,EQ,1022132,491300,48.07
20,537,GODREJIND,EQ,312779,222953,71.28
20,538,GODREJPROP,EQ,907522,225268,24.82
20,539,GOKEX,EQ,172064,94756,55.07
20,540,GOKUL,EQ,105109,57981,55.16
20,541,GOKULAGRO,EQ,383052,242568,63.33
20,542,GOLDBEES,EQ,3231236,2663447,82.43
20,543,GOLDIAM,EQ,149754,87971,58.74
20,544,GOLDSHARE,EQ,364693,212433,58.25
20,545,GOLDTECH,EQ,93342,77268,82.78
20,546,GOODLUCK,EQ,50835,50835,100.00
20,547,GOODYEAR,EQ,55048,26116,47.44
