Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22072021,1035628392,0001813
Trade Date <22-JUL-2021>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1513,SPMLINFRA,EQ,59650,39176,65.68
20,1514,SPTL,EQ,1923729,1184643,61.58
20,1515,SREEL,EQ,9948,6267,63.00
20,1516,SREIBNPNCD,NJ,373,373,100.00
20,1517,SREIBNPNCD,NL,42,42,100.00
20,1518,SREIBNPNCD,NP,241,241,100.00
20,1519,SREIBNPNCD,NQ,6,6,100.00
20,1520,SRF,EQ,92340,24531,26.57
20,1521,SRHHYPOLTD,EQ,16918,10862,64.20
20,1522,SRIPIPES,EQ,99912,46353,46.39
20,1523,SRTRANSFIN,EQ,1749604,670489,38.32
20,1524,SRTRANSFIN,YH,503,503,100.00
20,1525,SRTRANSFIN,YI,100,100,100.00
20,1526,SRTRANSFIN,YK,350,305,87.14
20,1527,SRTRANSFIN,YL,200,200,100.00
20,1528,SRTRANSFIN,YO,40,40,100.00
20,1529,SRTRANSFIN,YP,10,10,100.00
20,1530,SRTRANSFIN,YQ,10,10,100.00
20,1531,SRTRANSFIN,YR,185,185,100.00
20,1532,SRTRANSFIN,YS,35,35,100.00
20,1533,SRTRANSFIN,YT,160,152,95.00
20,1534,SRTRANSFIN,YU,72,71,98.61
20,1535,SRTRANSFIN,YV,250,250,100.00
20,1536,SRTRANSFIN,YW,73,10,13.70
20,1537,SRTRANSFIN,YX,85,85,100.00
20,1538,SRTRANSFIN,YY,635,635,100.00
20,1539,SRTRANSFIN,YZ,250,250,100.00
20,1540,SRTRANSFIN,Z1,676,651,96.30
20,1541,SRTRANSFIN,Z3,10,10,100.00
20,1542,SRTRANSFIN,Z5,303,303,100.00
20,1543,SRTRANSFIN,Z7,500,500,100.00
20,1544,SRTRANSFIN,Z8,25,25,100.00
20,1545,SRTRANSFIN,ZA,1800,1800,100.00
20,1546,SRTRANSFIN,ZC,10,10,100.00
20,1547,SRTRANSFIN,ZE,39,39,100.00
20,1548,SRTRANSFIN,ZJ,25,25,100.00
20,1549,SSINFRA,SM,6000,3000,50.00
20,1550,S&SPOWER,EQ,1811,1711,94.48
20,1551,SSWL,EQ,99076,44093,44.50
20,1552,STAR,EQ,261980,81143,30.97
20,1553,STARCEMENT,EQ,1376080,607763,44.17
20,1554,STARPAPER,EQ,174947,64380,36.80
20,1555,STCINDIA,EQ,109556,33132,30.24
20,1556,STEELCITY,EQ,752523,443500,58.94
20,1557,STEELXIND,EQ,124888,70274,56.27
20,1558,STEL,EQ,45363,28563,62.97
20,1559,STERTOOLS,EQ,308692,157181,50.92
20,1560,STLTECH,EQ,4334161,653758,15.08
20,1561,STOVEKRAFT,EQ,355943,48144,13.53
20,1562,SUBEXLTD,EQ,7560470,3526776,46.65
20,1563,SUBROS,EQ,22534,12129,53.83
20,1564,SUDARSCHEM,EQ,491201,212045,43.17
20,1565,SUMICHEM,EQ,447664,138996,31.05
20,1566,SUMIT,EQ,219421,123469,56.27
20,1567,SUMMITSEC,EQ,11913,8621,72.37
20,1568,SUNCLAYLTD,EQ,45735,11285,24.67
20,1569,SUNDARMFIN,EQ,11916,7072,59.35
20,1570,SUNDARMHLD,EQ,358045,230567,64.40
20,1571,SUNDRMBRAK,EQ,12674,3965,31.28
20,1572,SUNDRMFAST,EQ,42420,21671,51.09
20,1573,SUNFLAG,EQ,6460566,1938284,30.00
20,1574,SUNPHARMA,EQ,2047831,932232,45.52
20,1575,SUNTECK,EQ,2091635,327864,15.68
20,1576,SUNTV,EQ,678508,281932,41.55
20,1577,SUPERHOUSE,EQ,48925,22323,45.63
20,1578,SUPRAJIT,EQ,138798,67783,48.84
20,1579,SUPREMEENG,EQ,14202,12152,85.57
20,1580,SUPREMEIND,EQ,92802,52101,56.14
20,1581,SURANASOL,EQ,408182,252822,61.94
20,1582,SURANAT&P,EQ,110048,91457,83.11
20,1583,SURANI,SM,2000,2000,100.00
20,1584,SURYAROSNI,EQ,126763,45175,35.64
20,1585,SURYODAY,EQ,77222,47239,61.17
20,1586,SUTLEJTEX,EQ,872515,341355,39.12
20,1587,SUULD,EQ,144707,117290,81.05
20,1588,SUVEN,EQ,276990,137173,49.52
20,1589,SUVENPHAR,EQ,459300,249238,54.26
20,1590,SUVIDHAA,EQ,80682,58702,72.76
20,1591,SUZLON,EQ,24313554,13060039,53.72
20,1592,SVLL,SM,2000,2000,100.00
20,1593,SVPGLOB,EQ,207393,148643,71.67
20,1594,SWANENERGY,EQ,139744,23882,17.09
20,1595,SWARAJENG,EQ,37333,27064,72.49
20,1596,SWELECTES,EQ,114959,35562,30.93
20,1597,SWSOLAR,EQ,1862033,832408,44.70
20,1598,SYMPHONY,EQ,129810,48905,37.67
20,1599,SYNGENE,EQ,1189686,466442,39.21
20,1600,TAINWALCHM,EQ,249292,109700,44.00
20,1601,TAJGVK,EQ,164677,86350,52.44
20,1602,TAKE,EQ,722389,285832,39.57
20,1603,TALBROAUTO,EQ,90510,45248,49.99
20,1604,TARACHAND,SM,6000,4000,66.67
20,1605,TARAPUR,EQ,14921,9692,64.96
20,1606,TARMAT,EQ,1150144,365272,31.76
20,1607,TASTYBITE,EQ,2050,494,24.10
20,1608,TATACAPHSG,N2,1546,1256,81.24
20,1609,TATACAPHSG,N6,125,125,100.00
20,1610,TATACAPHSG,N8,56,50,89.29
20,1611,TATACHEM,EQ,1137807,269779,23.71
20,1612,TATACOFFEE,EQ,13112019,2736593,20.87
20,1613,TATACOMM,EQ,374272,244404,65.30
20,1614,TATACONSUM,EQ,1464419,896952,61.25
20,1615,TATAELXSI,EQ,95794,56432,58.91
20,1616,TATAINVEST,EQ,30537,15367,50.32
20,1617,TATAMETALI,EQ,313502,61383,19.58
20,1618,TATAMOTORS,EQ,21338361,7296981,34.20
20,1619,TATAMTRDVR,EQ,2478580,1679646,67.77
20,1620,TATAPOWER,EQ,20890960,6145734,29.42
20,1621,TATASTEEL,EQ,7894024,1804392,22.86
20,1622,TATASTLBSL,EQ,5490244,2170716,39.54
20,1623,TBZ,EQ,868113,411102,47.36
20,1624,TCFSL,NB,3076,2668,86.74
20,1625,TCFSL,ND,394,320,81.22
20,1626,TCFSL,NF,38,38,100.00
20,1627,TCFSL,NJ,155,155,100.00
20,1628,TCFSL,NL,258,257,99.61
20,1629,TCI,EQ,126385,55941,44.26
20,1630,TCIDEVELOP,EQ,1504,1121,74.53
20,1631,TCIEXP,EQ,124988,40833,32.67
20,1632,TCIFINANCE,EQ,12244,12244,100.00
20,1633,TCNSBRANDS,EQ,46652,13551,29.05
20,1634,TCPLPACK,EQ,18109,13733,75.84
20,1635,TCS,EQ,2859334,1999067,69.91
20,1636,TDPOWERSYS,EQ,29917,14256,47.65
20,1637,TEAMLEASE,EQ,8478,4791,56.51
20,1638,TECHIN,EQ,10583,8044,76.01
20,1639,TECHM,EQ,7309727,3248267,44.44
20,1640,TECHNOE,EQ,48534,23646,48.72
20,1641,TEMBO,EQ,79611,16183,20.33
20,1642,TERASOFT,EQ,222192,114588,51.57
20,1643,TEXINFRA,EQ,54819,36070,65.80
20,1644,TEXMOPIPES,EQ,143860,98676,68.59
20,1645,TEXRAIL,EQ,987628,427428,43.28
20,1646,TFCILTD,EQ,446396,158722,35.56
20,1647,TFL,EQ,40819,20042,49.10
20,1648,TGBHOTELS,EQ,45152,31164,69.02
20,1649,THANGAMAYL,EQ,10605,6612,62.35
20,1650,THEINVEST,EQ,13823,9138,66.11
20,1651,THEJO,SM,800,700,87.50
20,1652,THEMISMED,EQ,35204,17785,50.52
20,1653,THERMAX,EQ,18147,10331,56.93
20,1654,THOMASCOOK,EQ,305442,203734,66.70
20,1655,THYROCARE,EQ,121747,68125,55.96
20,1656,TIIL,EQ,60889,35966,59.07
20,1657,TIINDIA,EQ,143888,123991,86.17
20,1658,TIL,EQ,3717,2452,65.97
20,1659,TIMESGTY,EQ,15295,7221,47.21
20,1660,TIMETECHNO,EQ,398108,247050,62.06
20,1661,TIMKEN,EQ,40415,20311,50.26
20,1662,TINPLATE,EQ,1530460,536060,35.03
20,1663,TIRUMALCHM,EQ,5765541,1850090,32.09
20,1664,TITAN,EQ,1146821,545193,47.54
20,1665,TMRVL,EQ,109478,70924,64.78
20,1666,TNPETRO,EQ,1107487,678957,61.31
20,1667,TNPL,EQ,218479,99295,45.45
20,1668,TOKYOPLAST,EQ,22486,15218,67.68
20,1669,TORNTPHARM,EQ,137567,53048,38.56
20,1670,TORNTPOWER,EQ,929153,529342,56.97
20,1671,TOTAL,EQ,232659,132279,56.86
20,1672,TOUCHWOOD,EQ,7861,4332,55.11
20,1673,TPLPLASTEH,EQ,43266,10290,23.78
20,1674,TREJHARA,EQ,715358,328331,45.90
20,1675,TRENT,EQ,1813383,430377,23.73
20,1676,TRIDENT,EQ,13233569,8038671,60.74
20,1677,TRIGYN,EQ,710453,434800,61.20
20,1678,TRIL,EQ,391749,248142,63.34
20,1679,TRITURBINE,EQ,526220,155220,29.50
20,1680,TRIVENI,EQ,546631,233514,42.72
20,1681,TTKHLTCARE,EQ,33194,21640,65.19
20,1682,TTKPRESTIG,EQ,5195,1771,34.09
20,1683,TTL,EQ,73433,65296,88.92
20,1684,TV18BRDCST,EQ,13402738,4608625,34.39
20,1685,TVSELECT,EQ,56244,28119,49.99
20,1686,TVSMOTOR,EQ,2264989,586177,25.88
20,1687,TVSSRICHAK,EQ,5904,3704,62.74
20,1688,TVTODAY,EQ,64502,31039,48.12
20,1689,TVVISION,EQ,355229,284020,79.95
20,1690,TWL,EQ,1024393,477282,46.59
20,1691,UBL,EQ,444583,113060,25.43
20,1692,UCALFUEL,EQ,57222,38561,67.39
20,1693,UCOBANK,EQ,4069782,1849460,45.44
20,1694,UFLEX,EQ,749352,270016,36.03
20,1695,UFO,EQ,1199037,453936,37.86
20,1696,UGARSUGAR,EQ,392189,181238,46.21
20,1697,UJAAS,EQ,702240,539027,76.76
20,1698,UJJIVAN,EQ,722831,330888,45.78
20,1699,UJJIVANSFB,EQ,2432996,1073170,44.11
20,1700,ULTRACEMCO,EQ,1163215,387026,33.27
20,1701,UMANGDAIRY,EQ,324477,23108,7.12
20,1702,UMESLTD,EQ,23625,19071,80.72
20,1703,UNICHEMLAB,EQ,49404,22091,44.72
20,1704,UNIDT,EQ,82222,54140,65.85
20,1705,UNIENTER,EQ,21507,12736,59.22
20,1706,UNIINFO,SM,10000,8000,80.00
20,1707,UNIONBANK,EQ,6998322,2376261,33.95
20,1708,UNITEDTEA,EQ,971,334,34.40
20,1709,UNIVASTU,EQ,6659,2606,39.14
20,1710,UNIVCABLES,EQ,46892,24698,52.67
20,1711,UNIVPHOTO,EQ,2749,1929,70.17
20,1712,UPL,EQ,2978752,1447298,48.59
20,1713,URJA,EQ,4170979,2468753,59.19
20,1714,URJAPP,X1,100110,88671,88.57
20,1715,USHAMART,EQ,11765041,4742662,40.31
20,1716,UTIAMC,EQ,911804,299980,32.90
20,1717,UTIBANKETF,EQ,4325,3735,86.36
20,1718,UTINEXT50,EQ,209846,208850,99.53
20,1719,UTINIFTETF,EQ,385,281,72.99
20,1720,UTISENSETF,EQ,4875,4520,92.72
20,1721,UTISXN50,EQ,2495,1643,65.85
20,1722,UTTAMSTL,EQ,848832,848832,100.00
20,1723,V2RETAIL,EQ,182512,94854,51.97
20,1724,VADILALIND,EQ,15352,9873,64.31
20,1725,VAIBHAVGBL,EQ,263666,112641,42.72
20,1726,VAISHALI,EQ,32178,24872,77.30
20,1727,VAKRANGEE,EQ,10588236,4860651,45.91
20,1728,VALIANTORG,EQ,26848,17234,64.19
20,1729,VARDHACRLC,EQ,567448,360878,63.60
20,1730,VARDMNPOLY,EQ,651376,346781,53.24
20,1731,VARROC,EQ,74040,37717,50.94
20,1732,VASCONEQ,EQ,346170,233741,67.52
20,1733,VASWANI,EQ,33713,18831,55.86
20,1734,VBL,EQ,307180,181231,59.00
20,1735,VCL,SM,6000,6000,100.00
20,1736,VEDL,EQ,4944298,1865786,37.74
20,1737,VENKEYS,EQ,231517,94756,40.93
20,1738,VENUSREM,EQ,54243,33820,62.35
20,1739,VERA,SM,1500,1500,100.00
20,1740,VERTOZ,EQ,327945,64852,19.78
20,1741,VESUVIUS,EQ,26563,11417,42.98
20,1742,VETO,EQ,295551,147041,49.75
20,1743,VGUARD,EQ,1745859,816462,46.77
20,1744,VHL,EQ,2177,1257,57.74
20,1745,VIDHIING,EQ,826105,230950,27.96
20,1746,VIKASECO,EQ,677807,677807,100.00
20,1747,VIKASLIFE,EQ,896187,896187,100.00
20,1748,VIKASPROP,EQ,4567493,2409177,52.75
20,1749,VIKASWSP,EQ,428113,281417,65.73
20,1750,VIMTALABS,EQ,1573803,358363,22.77
20,1751,VINATIORGA,EQ,51019,19921,39.05
20,1752,VINDHYATEL,EQ,40924,19178,46.86
20,1753,VINEETLAB,EQ,367834,165441,44.98
20,1754,VINNY,SM,3000,3000,100.00
20,1755,VINYLINDIA,EQ,67167,35309,52.57
20,1756,VIPCLOTHNG,EQ,2892351,2105877,72.81
20,1757,VIPIND,EQ,582225,241551,41.49
20,1758,VIPULLTD,EQ,468663,442680,94.46
20,1759,VISAKAIND,EQ,267820,104347,38.96
20,1760,VISASTEEL,EQ,80902,61691,76.25
20,1761,VISHAL,EQ,1088683,865601,79.51
20,1762,VISHNU,EQ,26912,19682,73.13
20,1763,VISHWARAJ,EQ,247720,92385,37.29
20,1764,VIVIDHA,EQ,22877231,15149213,66.22
20,1765,VIVIMEDLAB,EQ,276339,183867,66.54
20,1766,VLSFINANCE,EQ,451499,231296,51.23
20,1767,VMARCIND,SM,12000,12000,100.00
20,1768,VMART,EQ,53205,14799,27.82
20,1769,VOLTAMP,EQ,16374,8598,52.51
20,1770,VOLTAS,EQ,922809,173364,18.79
20,1771,VRLLOG,EQ,183707,80993,44.09
20,1772,VSSL,EQ,1612877,508316,31.52
20,1773,VSTIND,EQ,7847,4204,53.57
20,1774,VSTTILLERS,EQ,15050,8475,56.31
20,1775,VTL,EQ,212383,82977,39.07
20,1776,WABAG,EQ,348962,212856,61.00
20,1777,WABCOINDIA,EQ,2957,1433,48.46
20,1778,WALCHANNAG,EQ,132188,71695,54.24
20,1779,WALPAR,ST,4000,4000,100.00
20,1780,WATERBASE,EQ,181418,64711,35.67
20,1781,WEBELSOLAR,EQ,261578,157173,60.09
20,1782,WEIZMANIND,EQ,35365,22474,63.55
20,1783,WELCORP,EQ,2043440,780289,38.19
20,1784,WELENT,EQ,226118,124372,55.00
20,1785,WELINV,EQ,943,353,37.43
20,1786,WELSPUNIND,EQ,3932327,2242402,57.02
20,1787,WENDT,EQ,1931,880,45.57
20,1788,WESTLIFE,EQ,320639,57988,18.09
20,1789,WEWIN,SM,3000,3000,100.00
20,1790,WFL,SM,3200,3200,100.00
20,1791,WHEELS,EQ,204637,83808,40.95
20,1792,WHIRLPOOL,EQ,191563,105911,55.29
20,1793,WILLAMAGOR,EQ,16218,9177,56.59
20,1794,WINDMACHIN,EQ,358633,231286,64.49
20,1795,WIPRO,EQ,12043385,4347340,36.10
20,1796,WOCKPHARMA,EQ,2467468,459800,18.63
20,1797,WONDERLA,EQ,112554,41043,36.47
20,1798,WORTH,EQ,72690,38638,53.15
20,1799,WSTCSTPAPR,EQ,340550,143834,42.24
20,1800,XCHANGING,EQ,14579523,4065157,27.88
20,1801,XPROINDIA,EQ,10316,10316,100.00
20,1802,YESBANK,EQ,52313522,24471341,46.78
20,1803,ZEEL,EQ,4171113,1161104,27.84
20,1804,ZEEL,P2,93099,88391,94.94
20,1805,ZEELEARN,EQ,1574018,1023729,65.04
20,1806,ZEEMEDIA,EQ,1502762,989969,65.88
20,1807,ZENITHEXPO,EQ,2991,2370,79.24
20,1808,ZENSARTECH,EQ,1613598,640745,39.71
20,1809,ZENTEC,EQ,993675,383917,38.64
20,1810,ZODIACLOTH,EQ,199616,95082,47.63
20,1811,ZODJRDMKJ,EQ,7133,5712,80.08
20,1812,ZOTA,EQ,46067,35248,76.51
20,1813,ZYDUSWELL,EQ,30320,10557,34.82
